architecture,split,scope_type,scope_value,records,ignore_only_recall,partial_suppression_rate,full_error_rate,predicted_IGNORE,predicted_READ_ONLY,predicted_WRITE_ONLY,predicted_FULL
polar,train,overall,all,129,0.5503875968992248,0.031007751937984496,0.4186046511627907,71,3,1,54
polar,train,dataset,gqa,43,0.7441860465116279,0.0,0.2558139534883721,32,0,0,11
polar,train,dataset,chartqa,43,0.46511627906976744,0.023255813953488372,0.5116279069767442,20,1,0,22
polar,train,dataset,textvqa,43,0.4418604651162791,0.06976744186046512,0.4883720930232558,19,2,1,21
polar,train,depth,early,46,0.6521739130434783,0.06521739130434782,0.2826086956521739,30,3,0,13
polar,train,depth,middle,42,0.4523809523809524,0.0,0.5476190476190477,19,0,0,23
polar,train,depth,late,41,0.5365853658536586,0.024390243902439025,0.43902439024390244,22,0,1,18
polar,validation,overall,all,33,0.0,0.030303030303030304,0.9696969696969697,0,0,1,32
polar,validation,dataset,gqa,11,0.0,0.0,1.0,0,0,0,11
polar,validation,dataset,chartqa,11,0.0,0.0,1.0,0,0,0,11
polar,validation,dataset,textvqa,11,0.0,0.09090909090909091,0.9090909090909091,0,0,1,10
polar,validation,depth,early,14,0.0,0.0,1.0,0,0,0,14
polar,validation,depth,middle,12,0.0,0.08333333333333333,0.9166666666666666,0,0,1,11
polar,validation,depth,late,7,0.0,0.0,1.0,0,0,0,7
online,train,overall,all,129,1.0,0.0,0.0,129,0,0,0
online,train,dataset,gqa,43,1.0,0.0,0.0,43,0,0,0
online,train,dataset,chartqa,43,1.0,0.0,0.0,43,0,0,0
online,train,dataset,textvqa,43,1.0,0.0,0.0,43,0,0,0
online,train,depth,early,46,1.0,0.0,0.0,46,0,0,0
online,train,depth,middle,42,1.0,0.0,0.0,42,0,0,0
online,train,depth,late,41,1.0,0.0,0.0,41,0,0,0
online,validation,overall,all,33,0.0,0.18181818181818182,0.8181818181818182,0,2,4,27
online,validation,dataset,gqa,11,0.0,0.2727272727272727,0.7272727272727273,0,1,2,8
online,validation,dataset,chartqa,11,0.0,0.18181818181818182,0.8181818181818182,0,0,2,9
online,validation,dataset,textvqa,11,0.0,0.09090909090909091,0.9090909090909091,0,1,0,10
online,validation,depth,early,14,0.0,0.14285714285714285,0.8571428571428571,0,1,1,12
online,validation,depth,middle,12,0.0,0.25,0.75,0,1,2,9
online,validation,depth,late,7,0.0,0.14285714285714285,0.8571428571428571,0,0,1,6
