architecture,uid,dataset,boundary_layer,predicted_first_deviation_layer,error_layers,bucket,within_1,within_2,predicted_first_action,rescued
polar,chartqa:chartqa_train_1419_cc3cd6b6fb,chartqa,13,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_1419_ffb1f1e36b,chartqa,25,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_24837839005697_c5edbc94dd,chartqa,25,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_26334874005187_ed2d25b0b6,chartqa,8,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_4927_2c801d4853,chartqa,16,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_multi_col_100762_8f5272c7ab,chartqa,8,16,8,too_late,False,False,WRITE_ONLY,True
polar,chartqa:chartqa_train_multi_col_1533_3446e3e4f7,chartqa,14,15,1,within_1_late,True,True,IGNORE,False
polar,chartqa:chartqa_train_multi_col_20224_214c688b44,chartqa,5,19,14,too_late,False,False,WRITE_ONLY,True
polar,chartqa:chartqa_train_multi_col_20596_70e7b333b3,chartqa,15,15,0,exact,True,True,IGNORE,False
polar,chartqa:chartqa_train_multi_col_21014_07ce7be117,chartqa,16,19,3,too_late,False,False,WRITE_ONLY,False
polar,chartqa:chartqa_train_multi_col_40114_c4ce7d4315,chartqa,10,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_multi_col_698_fedd1081b8,chartqa,5,5,0,exact,True,True,READ_ONLY,False
polar,chartqa:chartqa_train_multi_col_80242_83b9c4d789,chartqa,7,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_multi_col_80943_3bd5a29766,chartqa,26,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_multi_col_87_c989e8fd82,chartqa,4,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_two_col_100104_ade6978497,chartqa,16,16,0,exact,True,True,IGNORE,False
polar,chartqa:chartqa_train_two_col_101173_cb42827db0,chartqa,24,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_two_col_102131_ad3d344d01,chartqa,6,3,-3,too_early,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_102193_8f40111dba,chartqa,4,7,3,too_late,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_102964_48e635c72f,chartqa,13,2,-11,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_20323_05193fc395_dup1_row20739,chartqa,11,15,4,too_late,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_20489_5a1a0da66c,chartqa,18,24,6,too_late,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_20936_1551a225aa,chartqa,16,8,-8,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_21319_28e8a9883a,chartqa,26,15,-11,too_early,False,False,READ_ONLY,True
polar,chartqa:chartqa_train_two_col_21961_80c73b914f,chartqa,24,16,-8,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_23185_604ecf1c0c,chartqa,15,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_two_col_23541_6b61393552,chartqa,18,15,-3,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_23541_777788eab6,chartqa,9,8,-1,within_1_early,True,True,IGNORE,False
polar,chartqa:chartqa_train_two_col_2484_bf2b86e1a9,chartqa,1,24,23,too_late,False,False,IGNORE,True
polar,chartqa:chartqa_train_two_col_3461_3a689f6f89,chartqa,5,7,2,within_2_late,False,True,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_3545_e12869ada2,chartqa,14,8,-6,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_40023_95d192854e,chartqa,3,4,1,within_1_late,True,True,WRITE_ONLY,False
polar,chartqa:chartqa_train_two_col_5130_eb0e925c42,chartqa,25,10,-15,too_early,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_61324_bfa51f9c6f,chartqa,23,16,-7,too_early,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_6202_12d7abfa74,chartqa,9,14,5,too_late,False,False,IGNORE,False
polar,chartqa:chartqa_train_two_col_62563_cc3dd454f5,chartqa,13,15,2,within_2_late,False,True,WRITE_ONLY,False
polar,chartqa:chartqa_train_two_col_62988_7508339f16,chartqa,17,6,-11,too_early,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_63169_b63846d3fa,chartqa,23,11,-12,too_early,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_63319_ae30a16734,chartqa,22,2,-20,too_early,False,False,READ_ONLY,False
polar,chartqa:chartqa_train_two_col_80736_2ea39dfe1d,chartqa,18,,,never,False,False,FULL,False
polar,chartqa:chartqa_train_two_col_80772_f4e1dfd629_dup1_row12116,chartqa,15,16,1,within_1_late,True,True,WRITE_ONLY,False
polar,chartqa:chartqa_train_two_col_81540_d6647dff36,chartqa,26,14,-12,too_early,False,False,WRITE_ONLY,False
polar,chartqa:chartqa_train_two_col_916_605579b52b,chartqa,1,,,never,False,False,FULL,False
