architecture,split,bit,scope_type,scope_value,ambiguous_excluded_from_split,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
polar,train,read_off,overall,all,99,925,284,641,0.9306019423875547,0.8526710967084828,0.8605405405405405,0.797400628419503,0.8780487804878049,0.6338028169014085,0.736196319018405,0.0390015600624025,0.36619718309859156,180,616,25,104
polar,train,read_off,dataset,gqa,99,315,101,214,0.9529008975663922,0.8980224688179801,0.9079365079365079,0.8825761080780976,0.8913043478260869,0.8118811881188119,0.8497409326424871,0.04672897196261682,0.18811881188118812,82,204,10,19
polar,train,read_off,dataset,chartqa,99,308,94,214,0.9040564724597335,0.8019155472606955,0.8409090909090909,0.7662060051700139,0.8571428571428571,0.574468085106383,0.6878980891719746,0.04205607476635514,0.425531914893617,54,205,9,40
polar,train,read_off,dataset,textvqa,99,302,89,213,0.9313446220393522,0.857723277349702,0.8311258278145696,0.7331065041937015,0.88,0.4943820224719101,0.6330935251798561,0.028169014084507043,0.5056179775280899,44,207,6,45
polar,train,read_off,depth,early,99,305,87,218,0.9683380786670884,0.9356360452294902,0.8885245901639345,0.8184118949699462,0.9344262295081968,0.6551724137931034,0.7702702702702702,0.01834862385321101,0.3448275862068966,57,214,4,30
polar,train,read_off,depth,middle,99,331,102,229,0.9124496960356195,0.8195708861546275,0.851963746223565,0.7815523589348403,0.8840579710144928,0.5980392156862745,0.7134502923976609,0.034934497816593885,0.4019607843137255,61,221,8,41
polar,train,read_off,depth,late,99,289,95,194,0.9047205642973413,0.8121486475957287,0.8408304498269896,0.792810634834509,0.8266666666666667,0.6526315789473685,0.7294117647058824,0.06701030927835051,0.3473684210526316,62,181,13,33
polar,train,read_off,layer,0,99,39,4,35,0.9928571428571429,0.95,0.9487179487179487,0.75,1.0,0.5,0.6666666666666666,0.0,0.5,2,35,0,2
polar,train,read_off,layer,1,99,39,12,27,0.9876543209876543,0.9752747252747254,0.8717948717948718,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.0,0.4166666666666667,7,27,0,5
polar,train,read_off,layer,2,99,22,7,15,0.9952380952380953,0.9821428571428572,0.9545454545454546,0.9666666666666667,0.875,1.0,0.9333333333333333,0.06666666666666667,0.0,7,14,1,0
polar,train,read_off,layer,3,99,23,6,17,0.8823529411764706,0.8375,0.8260869565217391,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,2,17,0,4
polar,train,read_off,layer,4,99,34,12,22,0.9924242424242424,0.9880952380952381,0.9705882352941176,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,0.0,0.08333333333333333,11,22,0,1
polar,train,read_off,layer,5,99,15,6,9,0.9074074074074074,0.8555555555555555,0.6666666666666666,0.611111111111111,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.6666666666666666,2,8,1,4
polar,train,read_off,layer,6,99,34,7,27,0.9629629629629629,0.9136577708006279,0.8823529411764706,0.7142857142857143,1.0,0.42857142857142855,0.6,0.0,0.5714285714285714,3,27,0,4
polar,train,read_off,layer,7,99,40,15,25,0.9733333333333334,0.944116199704435,0.875,0.8466666666666667,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.04,0.26666666666666666,11,24,1,4
polar,train,read_off,layer,8,99,25,7,18,0.9206349206349206,0.8273809523809523,0.84,0.7579365079365079,0.8,0.5714285714285714,0.6666666666666666,0.05555555555555555,0.42857142857142855,4,17,1,3
polar,train,read_off,layer,9,99,34,11,23,0.9920948616600791,0.986013986013986,0.9117647058823529,0.8636363636363636,1.0,0.7272727272727273,0.8421052631578948,0.0,0.2727272727272727,8,23,0,3
polar,train,read_off,layer,10,99,27,5,22,0.9,0.8625,0.9629629629629629,0.9,1.0,0.8,0.888888888888889,0.0,0.2,4,22,0,1
polar,train,read_off,layer,11,99,34,10,24,0.9604166666666667,0.8986832611832611,0.8235294117647058,0.7,1.0,0.4,0.5714285714285715,0.0,0.6,4,24,0,6
