architecture,split,scope_type,scope_value,records,deviated,deviate_recall,unconditional_valid_action_at_1,conditional_valid_action_at_1,predicted_IGNORE,predicted_READ_ONLY,predicted_WRITE_ONLY,predicted_FULL
polar,train,overall,all,512,338,0.66015625,0.646484375,0.9792899408284024,85,133,120,174
polar,train,dataset,gqa,171,131,0.7660818713450293,0.7602339181286549,0.9923664122137404,39,41,51,40
polar,train,dataset,chartqa,171,100,0.5847953216374269,0.5672514619883041,0.97,24,42,34,71
polar,train,dataset,textvqa,170,107,0.6294117647058823,0.611764705882353,0.9719626168224299,22,50,35,63
polar,train,depth,early,175,136,0.7771428571428571,0.7428571428571429,0.9558823529411765,37,66,33,39
polar,train,depth,middle,180,105,0.5833333333333334,0.5833333333333334,1.0,22,39,44,75
polar,train,depth,late,157,97,0.6178343949044586,0.6114649681528662,0.9896907216494846,26,28,43,60
polar,validation,overall,all,128,7,0.0546875,0.015625,0.2857142857142857,3,3,1,121
polar,validation,dataset,gqa,43,1,0.023255813953488372,0.023255813953488372,1.0,0,1,0,42
polar,validation,dataset,chartqa,43,4,0.09302325581395349,0.023255813953488372,0.25,3,1,0,39
polar,validation,dataset,textvqa,42,2,0.047619047619047616,0.0,0.0,0,1,1,40
polar,validation,depth,early,48,2,0.041666666666666664,0.041666666666666664,1.0,0,2,0,46
polar,validation,depth,middle,43,4,0.09302325581395349,0.0,0.0,3,0,1,39
polar,validation,depth,late,37,1,0.02702702702702703,0.0,0.0,0,1,0,36
online,train,overall,all,512,512,1.0,1.0,1.0,147,179,186,0
online,train,dataset,gqa,171,171,1.0,1.0,1.0,52,58,61,0
online,train,dataset,chartqa,171,171,1.0,1.0,1.0,46,61,64,0
online,train,dataset,textvqa,170,170,1.0,1.0,1.0,49,60,61,0
online,train,depth,early,175,175,1.0,1.0,1.0,53,69,53,0
online,train,depth,middle,180,180,1.0,1.0,1.0,48,61,71,0
online,train,depth,late,157,157,1.0,1.0,1.0,46,49,62,0
online,validation,overall,all,128,19,0.1484375,0.078125,0.5263157894736842,3,4,12,109
online,validation,dataset,gqa,43,6,0.13953488372093023,0.06976744186046512,0.5,1,1,4,37
online,validation,dataset,chartqa,43,9,0.20930232558139536,0.11627906976744186,0.5555555555555556,2,2,5,34
online,validation,dataset,textvqa,42,4,0.09523809523809523,0.047619047619047616,0.5,0,1,3,38
online,validation,depth,early,48,4,0.08333333333333333,0.041666666666666664,0.5,0,3,1,44
online,validation,depth,middle,43,10,0.23255813953488372,0.13953488372093023,0.6,2,1,7,33
online,validation,depth,late,37,5,0.13513513513513514,0.05405405405405406,0.4,1,0,4,32
