architecture,split,scope_type,scope_value,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
polar,train,overall,all,1024,512,512,0.9155845642089844,0.9061192570681088,0.8173828125,0.8173828125,0.8992628992628993,0.71484375,0.7965179542981501,0.080078125,0.28515625,366,471,41,146
polar,train,dataset,gqa,342,171,171,0.9400841284497794,0.924155936358519,0.8625730994152047,0.8625730994152047,0.9078947368421053,0.8070175438596491,0.8544891640866874,0.08187134502923976,0.19298245614035087,138,157,14,33
polar,train,dataset,chartqa,342,171,171,0.8758592387401252,0.8583852216657589,0.7777777777777778,0.7777777777777778,0.8740157480314961,0.6491228070175439,0.7449664429530201,0.0935672514619883,0.3508771929824561,111,155,16,60
polar,train,dataset,textvqa,340,170,170,0.924325259515571,0.9323551831849932,0.8117647058823529,0.8117647058823529,0.9140625,0.6882352941176471,0.785234899328859,0.06470588235294118,0.31176470588235294,117,159,11,53
polar,train,depth,early,350,175,175,0.9632163265306123,0.9636923284566347,0.8885714285714286,0.8885714285714286,0.930379746835443,0.84,0.8828828828828829,0.06285714285714286,0.16,147,164,11,28
polar,train,depth,middle,360,180,180,0.8838888888888888,0.8648431630420891,0.7611111111111111,0.7611111111111111,0.873015873015873,0.6111111111111112,0.7189542483660131,0.08888888888888889,0.3888888888888889,110,164,16,70
polar,train,depth,late,314,157,157,0.8893058541928679,0.8773953346643326,0.802547770700637,0.802547770700637,0.8861788617886179,0.6942675159235668,0.7785714285714286,0.08917197452229299,0.3057324840764331,109,143,14,48
polar,train,layer,0,46,23,23,1.0,1.0,0.9565217391304348,0.9565217391304348,0.92,1.0,0.9583333333333334,0.08695652173913043,0.0,23,21,2,0
polar,train,layer,1,42,21,21,0.9909297052154195,0.9915302089215133,0.9047619047619048,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.0,0.19047619047619047,17,21,0,4
polar,train,layer,2,28,14,14,0.9719387755102041,0.9708460307199804,0.8928571428571429,0.8928571428571428,0.8666666666666667,0.9285714285714286,0.896551724137931,0.14285714285714285,0.07142857142857142,13,12,2,1
polar,train,layer,3,26,13,13,0.9171597633136095,0.9520879120879121,0.8846153846153846,0.8846153846153846,1.0,0.7692307692307693,0.8695652173913044,0.0,0.23076923076923078,10,13,0,3
polar,train,layer,4,38,19,19,0.943213296398892,0.9332906429655656,0.868421052631579,0.868421052631579,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.10526315789473684,0.15789473684210525,16,17,2,3
polar,train,layer,5,16,8,8,0.90625,0.8755456349206348,0.6875,0.6875,0.8,0.5,0.6153846153846154,0.125,0.5,4,7,1,4
polar,train,layer,6,42,21,21,0.95578231292517,0.9339206477585513,0.9047619047619048,0.9047619047619047,0.9473684210526315,0.8571428571428571,0.9,0.047619047619047616,0.14285714285714285,18,20,1,3
polar,train,layer,7,44,22,22,0.9834710743801653,0.9802309287906273,0.9090909090909091,0.9090909090909092,0.95,0.8636363636363636,0.9047619047619048,0.045454545454545456,0.13636363636363635,19,21,1,3
polar,train,layer,8,28,14,14,0.9285714285714286,0.9359497645211932,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.14285714285714285,0.2857142857142857,10,12,2,4
polar,train,layer,9,40,20,20,0.98,0.9857142857142857,0.925,0.925,1.0,0.85,0.9189189189189189,0.0,0.15,17,20,0,3
polar,train,layer,10,28,14,14,0.8520408163265306,0.7801197810126381,0.75,0.75,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.14285714285714285,0.35714285714285715,9,12,2,5
polar,train,layer,11,38,19,19,0.8864265927977839,0.8932406999774217,0.7105263157894737,0.7105263157894737,0.9,0.47368421052631576,0.6206896551724138,0.05263157894736842,0.5263157894736842,9,18,1,10
polar,train,layer,12,50,25,25,0.8824,0.8619747378284375,0.7,0.7,0.8125,0.52,0.6341463414634146,0.12,0.48,13,22,3,12
polar,train,layer,13,44,22,22,0.8708677685950413,0.8838232411735721,0.6818181818181818,0.6818181818181818,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.09090909090909091,0.5454545454545454,10,20,2,12
polar,train,layer,14,46,23,23,0.8591682419659735,0.9019290938543193,0.782608695652174,0.7826086956521738,1.0,0.5652173913043478,0.7222222222222222,0.0,0.43478260869565216,13,23,0,10
polar,train,layer,15,44,22,22,0.9111570247933884,0.9009504199009545,0.7954545454545454,0.7954545454545454,0.9333333333333333,0.6363636363636364,0.7567567567567568,0.045454545454545456,0.36363636363636365,14,21,1,8
polar,train,layer,16,52,26,26,0.897189349112426,0.8695929681143763,0.8653846153846154,0.8653846153846154,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.15384615384615385,0.11538461538461539,23,22,4,3
polar,train,layer,17,36,18,18,0.9290123456790124,0.9409778106709054,0.8333333333333334,0.8333333333333333,0.875,0.7777777777777778,0.823529411764706,0.1111111111111111,0.2222222222222222,14,16,2,4
polar,train,layer,18,22,11,11,0.9256198347107438,0.9008736213281668,0.6818181818181818,0.6818181818181818,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.09090909090909091,0.5454545454545454,5,10,1,6
polar,train,layer,19,36,18,18,0.9243827160493827,0.9341155727482959,0.8055555555555556,0.8055555555555556,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.1111111111111111,0.2777777777777778,13,16,2,5
polar,train,layer,20,30,15,15,0.9377777777777778,0.9533451842275372,0.7666666666666667,0.7666666666666666,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667,8,15,0,7
polar,train,layer,21,28,14,14,0.7346938775510204,0.8073325630092549,0.7857142857142857,0.7857142857142858,0.9,0.6428571428571429,0.75,0.07142857142857142,0.35714285714285715,9,13,1,5
polar,train,layer,22,32,16,16,0.88671875,0.8964759133804221,0.8125,0.8125,0.8125,0.8125,0.8125,0.1875,0.1875,13,13,3,3
polar,train,layer,23,56,28,28,0.8418367346938775,0.7559846684949445,0.7678571428571429,0.7678571428571428,0.8260869565217391,0.6785714285714286,0.7450980392156864,0.14285714285714285,0.32142857142857145,19,24,4,9
polar,train,layer,24,44,22,22,0.9452479338842975,0.8669437049253402,0.8863636363636364,0.8863636363636364,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.09090909090909091,0.13636363636363635,19,20,2,3
