metric,POLAR,Online
train_boundary_valid_action_at_1,0.546875,1.0
val_boundary_valid_action_at_1,0.015625,0.078125
val_boundary_nonfull_recall,0.0546875,0.1484375
w2c_rescue,0.0546875,0.046875
c2c_preservation,0.96875,0.953125
net_accuracy_change,0.01171875,0.0
exact_first_deviation,0.03125,0.046875
within_1_first_deviation,0.0859375,0.09375
within_2_first_deviation,0.109375,0.171875
early_deviation_fraction,0.21875,0.53125
late_or_no_deviation_fraction,0.75,0.421875
no_deviation_fraction,0.5390625,0.1953125
teacher_forced_minus_free_rollout_leave_full_gap,-0.40625,-0.65625
full_fraction,0.9748883928571429,0.9407087053571429
read_only_fraction,0.006975446428571429,0.013811383928571428
write_only_fraction,0.011439732142857142,0.023856026785714284
ignore_fraction,0.006696428571428571,0.021623883928571428
